SL,Timestamp,Age,Sex identity,In which university do you study?,Do you have knowledge regarding the current situation of the COVID-19 pandemic?,Where do you get most of the information regarding the COVID-19?,Are you worried about getting infected by the COVID-19?,Are you worried that your family members would get infected by COVID-19?,How do you feel about measures taken to prevent the spread of the COVID-19 in Bangladesh?,Are you worried about getting proper treatment if you are infected by covid-19?,"Before the lockdown, how often did you feel nervous or stressed?",Are your Studies being affected due to the lockdown?,Do you feel without the help of friends and teachers your studies are being affected?,Do you feel online classes are helping you in study?,Do you feel the lockdown is setting you back from your study goals? ,"Before lockdown, how often did you feel confident about your ability to handle your personal problems?",Where is your current location?,Which division do you live in?,Are you living with your family? ,What is the total monthly income of your family?,As a student have you ever been involved in any of the extracurricular activities during lockdown?,"Feeling nervous, anxious or on edge?","Feeling down, depressed, or hopeless?"
1,05-06-20 17:39,3,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,4,1,1,0
2,05-06-20 17:49,2,1,1,1,6,1,1,2,1,1,0,0,2,0,0,2,1,1,2,0,1,1
3,05-06-20 19:06,2,2,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,4,1,1,1
4,05-06-20 19:51,2,2,1,1,6,2,2,0,1,1,1,1,0,1,3,1,2,1,5,0,1,1
5,05-06-20 19:52,1,2,1,1,1,1,1,0,1,1,1,1,0,1,4,1,2,1,3,0,1,0
6,05-06-20 19:56,2,2,1,1,1,1,1,2,1,4,0,1,0,0,2,2,3,1,2,0,1,1
7,05-06-20 20:03,2,2,1,1,6,1,1,2,1,0,1,1,1,1,2,2,3,1,3,0,1,1
8,05-06-20 20:04,2,1,1,1,1,2,1,2,1,4,1,1,0,1,2,2,1,1,1,1,1,1
9,05-06-20 20:14,1,1,1,1,5,1,1,2,1,2,1,1,0,1,3,2,3,1,5,1,1,0
10,05-06-20 20:18,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
11,05-06-20 20:19,1,1,1,1,1,2,1,2,1,4,1,1,0,1,3,2,3,1,5,0,1,1
12,05-06-20 20:21,1,1,1,1,6,0,2,2,1,4,0,0,1,0,0,2,3,1,3,0,1,1
13,05-06-20 20:25,1,1,1,1,3,0,2,2,0,1,0,0,1,0,4,2,3,1,5,0,0,0
14,05-06-20 20:26,1,1,1,1,3,1,1,2,1,2,1,1,0,1,2,2,3,1,5,0,1,1
15,05-06-20 20:26,1,2,1,1,6,1,1,2,2,2,0,1,0,2,2,2,2,1,3,0,0,0
16,05-06-20 20:27,1,1,1,1,3,0,1,2,1,0,1,1,1,1,3,2,3,1,5,1,1,1
17,05-06-20 20:27,2,2,1,2,6,1,1,2,1,4,2,1,0,1,2,1,1,1,4,1,1,1
18,05-06-20 20:31,1,2,1,1,6,0,2,2,1,2,1,1,0,1,3,2,3,1,5,0,1,0
19,05-06-20 20:33,1,1,1,1,5,0,1,0,2,1,1,1,0,1,4,2,3,1,5,0,0,0
20,05-06-20 20:36,1,1,1,1,5,1,1,2,1,3,1,1,0,0,1,2,3,1,5,0,1,1
21,05-06-20 20:47,1,1,1,1,6,1,1,2,1,1,1,1,2,1,3,2,3,1,5,1,1,1
22,05-06-20 21:00,2,1,2,1,5,1,1,0,1,2,2,2,2,2,2,2,5,1,1,1,0,1
23,05-06-20 21:06,2,2,1,1,6,2,1,2,1,2,1,0,0,1,3,2,3,1,1,0,1,1
24,05-06-20 21:06,2,2,1,1,1,1,1,2,1,3,1,2,2,2,2,2,3,0,2,0,1,1
25,05-06-20 21:19,3,1,1,1,7,1,1,2,1,2,0,0,1,1,4,2,3,0,5,0,1,0
26,05-06-20 21:34,2,1,1,1,3,1,1,2,1,4,1,1,0,1,4,2,3,1,5,0,1,1
27,05-06-20 22:05,1,2,1,2,3,2,2,0,1,2,1,1,0,2,0,2,1,1,4,0,1,1
28,05-06-20 22:07,2,1,1,1,7,1,1,2,2,2,0,1,0,0,3,2,3,1,5,1,1,1
29,05-06-20 22:15,2,1,1,1,6,1,1,0,1,2,1,1,1,0,2,1,1,1,1,0,1,1
30,05-06-20 22:16,2,1,1,1,1,0,1,2,1,2,1,2,0,1,4,1,1,1,1,1,1,1
31,05-06-20 22:23,3,2,1,1,6,1,1,0,1,2,1,1,0,1,4,2,4,1,4,0,1,1
32,05-06-20 22:29,1,2,1,1,1,1,1,2,2,2,1,0,0,1,2,2,3,1,3,0,1,0
33,05-06-20 22:30,2,1,1,1,5,1,1,2,1,2,1,1,0,1,2,1,1,1,1,0,1,0
34,05-06-20 22:33,3,1,1,1,6,1,1,2,1,1,1,1,0,1,4,2,4,1,1,0,1,1
35,05-06-20 22:33,2,1,1,1,1,1,1,2,1,4,0,0,1,0,4,2,1,1,1,0,0,0
36,05-06-20 22:36,2,1,1,1,1,1,1,2,1,1,1,1,0,1,4,2,3,1,2,0,1,1
37,05-06-20 22:36,2,1,1,1,1,0,0,2,1,2,1,1,0,0,2,2,3,1,2,0,1,0
38,05-06-20 22:37,1,1,1,1,1,0,0,2,1,3,1,1,1,1,4,1,1,1,1,1,1,1
39,05-06-20 22:38,2,1,1,1,1,1,1,2,1,1,1,1,0,1,4,1,2,1,2,0,1,1
40,05-06-20 22:39,2,1,1,1,1,1,1,2,1,1,2,2,2,2,3,2,1,1,3,2,1,0
41,05-06-20 22:39,2,1,1,1,6,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,0,0
42,05-06-20 22:40,2,1,1,1,5,1,1,2,1,3,0,0,0,1,4,2,5,1,2,0,1,1
43,05-06-20 22:41,2,2,1,1,6,1,1,0,1,2,1,1,0,2,4,2,3,1,4,0,1,1
44,05-06-20 22:42,2,1,1,1,6,1,1,2,1,1,1,1,0,1,3,2,5,1,2,1,1,0
45,05-06-20 22:45,1,2,1,1,6,2,1,2,1,1,1,1,2,1,3,1,1,1,3,1,1,1
46,05-06-20 22:47,2,1,1,1,1,1,1,2,1,0,1,0,1,1,4,1,1,1,3,0,0,1
47,05-06-20 22:47,3,1,1,1,6,1,1,0,2,3,1,0,0,1,3,2,2,0,1,1,1,1
48,05-06-20 22:48,2,1,1,1,6,2,1,2,1,2,1,1,2,1,2,2,3,1,3,0,1,1
49,05-06-20 22:49,2,1,2,1,1,1,1,2,1,0,1,1,2,1,2,1,3,1,1,0,1,1
50,05-06-20 22:50,2,1,1,1,6,2,0,0,1,1,0,0,0,1,4,2,1,0,2,0,1,0
